Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
ABCA13	0.232753	0.112661	0.272337	0.207185	0.354297	0.549619
ABCA17P	0.174281	0.0418939	0.331264	0.270677	0.365664	0.436931
ABCA2	6.21345841	5.72477	4.40096000119389	5.20673	4.04828	5.5231100096184
ABCA3	1.88274	2.09458	1.27452	1.99862	1.12776	1.15279
ABCA4	0.0421247	0.0236277	0.0718895	0.0954319	0.0687687	0.109504
ABCA5	1.4008537	0.8235112	1.5407196	0.964111	2.361931	1.857777
ABCA6	0.0586709	0.016454	0.0800827	0.0531604	0.057457	0.152528
ABCA7	10.5894	7.20625	12.5439	9.10634	11.3632	13.0178
ABCA8	0.0542204	0	0.0555095	0.0368471	0.0531014	0
ABCA9	0.530918	0.303024	1.14964	0.824686	1.22984	1.77436
ABCB1	4.82406	3.35486	7.28383	4.49015	9.01747	8.46213
ABCB10	2.95485	2.39478	3.10716	2.19187	3.55647	4.65181
ABCB11	0.0217507	0.0182997	0	0.0295604	0.0212991	0
ABCB4	0.0281285	0	0.0839249	0.0568821	0	0.0536408
ABCB5	0.673796	0.619647	2.062788	1.2307259	2.279467	2.233004
ABCB6	1.60932	1.55999	2.398	3.20852	3.7667	6.48161
ABCB7	6.202045	4.18523	5.279608	3.89454	10.127868	9.0237134
ABCB8	4.26053	3.80857	9.1764	7.34336	9.5391	9.12951
ABCB9	0.9610449	0.92504	1.206183	1.210820806459	1.07637	1.71614387
ABCC1	3.91053	4.12253	4.47023	5.78492	6.16822	7.89989
ABCC10	9.73374	9.98162	11.71603	10.93484	14.5046	12.38803
ABCC11	0.0427016	0.0588659	0.143229	0.145086000242393	0.0685106	0.333044
ABCC12	0.0200539	0.0168721	0.0615868	0.122649	0.0392773	0.156404
ABCC13	0.399015	0.165771	0.383966	0.306692	0.410509	0.449459
ABCC2	0.0821229	0.0172733	0.294233	0.139515	0.201053	0.0800621
ABCC3	0.287881	0.0675153	0.164297	0.67769	0.2252376	0.586749
ABCC4	2.009017	3.20679	2.57249	3.35572	2.577689	4.68359
ABCC5	2.886019	3.51831	4.59014	4.25475	4.84117	5.82141
ABCC5-AS1	0.297889	0.25072	0.301512	0.604123	0.577755	0
ABCC6	0.1719233	0.051134	0.483489	0.0782132	0.291167	0.0961487
ABCC6P1	0.038951	0	0.148502	0.0613518	0	0.346852
ABCC6P2	0	0	0	0.118864	0.603637	0
ABCC8	0.0416798	0.0701336	0.14933	0.0708078	0.0408156	0.20317
ABCC9	3.42972	2.42723	7.32897	5.87081	7.46743	9.40745
ABCD1	2.4301	1.63561	1.9894	1.59281	1.7633	1.67249
ABCD2	0.135717	0.309927	0.178631	0.131754	0.208858	0.642643
ABCD3	6.94944	8.89211	7.70981	8.43031	14.0279	11.74592
ABCD4	10.79875	8.92066	14.17276	10.17451	17.34984	13.0836000022474
ABCE1	7.448444	9.48622	9.100196	9.54658	9.65033	19.07494
ABCF1	32.57726	24.41491	40.29234	32.1195234	55.3573866319	41.308000001943
ABCF2	20.47743	20.12299	23.94648	20.50997	31.47774	36.99921
ABCF3	12.5783	9.57276	17.5617	11.6352	18.9487	19.2866
ABCG1	0.425795	0.36522	0.5846286	0.808701740488	1.371801	0.493847
ABCG2	0.375849	0.375505	0.817478	0.2587047	0.115007	0.420121
ABCG4	0.163618	0.0488386	0.118803	0.197201	0.16019	0.169797
ABCG5	0.0774244	0	0.118793	0.0525932	0.151542	0.150999
ABCG8	0.119573	0.0335328	0.0815346	0.0812222	0.0780102	0.0777347
ABHD1	0.153577	0.0645998	0.078417	0.208478	0.225144	0
ABHD10	10.628788	8.935625	8.968255	9.710495	8.04665	16.56144
ABHD11	13.28437	10.52371	11.73865	11.12664	16.59285	16.13211
ABHD12	11.1031	10.115175	9.739873	11.995788	13.117584	10.426169
ABHD12B	2.25062	1.57782	3.14132	2.138705	2.786349	3.8059
ABHD13	2.61759	1.75854	3.37957	2.21687	3.82603	5.33227
ABHD14A	19.3531	17.4479	20.2383	18.0441	22.6727	30.6595
ABHD14A-ACY1	2.63877	2.5066	0.000857536	1.93658	3.09727	0
ABHD14B	18.04916	16.32506	23.33179	13.79995	25.4673	19.85895
ABHD15	4.4912	2.74725	7.74486	4.89344	7.90978	4.74744
ABHD16A	36.73016	37.48508	42.3309570254549	45.60385	51.38257	48.54523
ABHD16B	3.68339	2.8922	3.13665	2.0007	4.02208	1.9162
ABHD2	10.31677	7.333836	10.17494	7.959739	11.46163	11.19091
ABHD3	20.5327	18.5928	23.7675	22.4588	33.7812	37.0962
ABHD4	6.71053	2.28684	9.03472	4.99072	12.26	8.03506
ABHD5	2.05041	1.64372	3.18504	1.93289	3.53261	3.24355
ABHD6	0.759036	0.338074	0.639223	0.727817	0.655301	0.783765
ABHD8	0.412424	1.04092	0.68514	0.315087	1.7146	0.703916
ABI1	12.037004	10.0946	19.326224	11.958795	21.845997000363	23.130022
ABI2	4.87837	5.13035	5.38765	5.7807	6.97538	9.56234
ABI3	111.56943	83.78822	132.64873	85.02035	142.82783	125.11238
ABI3BP	0.0465267	0.0195723	0.142867	0	0.0911163	0.0907216
ABL1	3.312589	2.333857	5.3611	3.22524	7.24472	5.39489
ABL2	0.661687403	0.716724747	1.064647955	0.8562818	1.854085895598	1.55286638
ABLIM1	6.391867100909	5.0179301	5.48551	3.718626	5.182254	4.67738445
ABLIM2	0.3426997	0.0347389	0.042231	0.380338	0.543518	0.495709
ABLIM3	0.0240269	0.0202146	0.0737756	0.114283	0.0235261	0.04685
ABO	0.0697384	0	0.142478	0	0.204524	0.272129
ABP1	0.0876329	0	0.306108	0.2636132	0	0.17092
ABR	16.109582	12.055673	15.170734	13.123438	16.113753	16.845282
ABRA	0.287101	0.245912	0.529665	0.318358	1.11045	1.40435
ABRACL	99.6652	103.816	109.273	117.574	92.3603	98.2845
ABT1	31.2648	35.0311	37.296	32.5264	44.6305	39.1763
ABTB1	8.035474	4.75559	7.63776	3.64262	13.923034	7.7945989177
ABTB2	0.105837	0.231516	0.411688	0.158224	0.518207	0.619091
ACAA1	41.76239	41.74303	45.64963	45.36323	46.75355	50.14173
ACAA2	157.282	144.902	182.687	205.385	196.615	179.52
ACACA	2.0934755	1.822431683671	2.404114	1.8792604	2.5720576	2.828498
ACACB	0.189465	0.247067	0.95667	0.437587	0.937711	0.835554
ACAD10	4.480178	4.449602	4.72132	4.40104	7.592828	7.22438
ACAD11	2.51697	2.73386	3.94193	3.0186	4.55376	6.89339
ACAD8	8.87966	6.93688	12.9199	7.35593	15.0352	12.4666
ACAD9	16.46483	12.40014	18.31905	17.21281	19.35815	23.44847
ACADL	0	0	0.0437853	0.0872406	0	0.250509
ACADM	11.887427	8.7309	16.2048	12.89762	18.41884	24.60179
ACADS	14.1928	14.414	13.2348	9.82929	13.1068	11.3613
ACADSB	4.81374	3.66453	7.40881	5.83966	8.6165	9.51238
ACADVL	53.622319	42.4882130972009	73.9377773	56.9917406	88.0606545436	80.52325
ACAN	0.0120086	0.0390356	0.110676	0.165556	0.136348	0.0452268
ACAP1	175.652	149.959	152.829	154.489	162.565	152.233
ACAP2	7.66163	5.2118	8.84154	5.38517	9.43113	7.95604
ACAP3	1.94886	1.89729	1.51002	1.49438	1.44462	1.30295
ACAT1	17.7481	22.4821	15.1552	24.5513	12.4789	18.293
ACAT2	82.5757	90.8411	77.3923	86.8668	70.3926	76.1503
ACBD3	2.32366	1.93021	2.31756	2.57794	3.68574	2.40901
ACBD4	4.473834	4.989317	6.4323494	4.0689129	7.996827	6.46026
ACBD5	6.182397	4.70336	7.687738	7.236862	8.3706783	13.158888
ACBD6	25.0926	21.968	26.6764	26.0826	30.3153	33.3008
ACBD7	3.18431	1.3314	6.04183	3.65104	6.06726	7.9889
ACCS	5.32127	3.30889	5.37941	2.58632	2.488932	0.964706
ACCSL	0	0	0.122207	0.121791	0.116942	0.116641
ACD	15.570827	14.501058	15.491996	16.3039	18.90413	17.0018
ACE	0.100668	0.0846939	0.230897	0.156067	0.102229	0.1308781
ACE2	0	0	0.0306145	0.0203271	0.29289	0
ACER1	0.421983	0.0887465	0.215202	1.35966	0.412002	0.617778
ACER2	0.148476	0.187374	0.493618	0.226937	0.617586	0.868692
ACER3	1.31121	1.47203	2.21916	1.45793	2.20119	3.16455
ACHE	0	0.0819745	0.249059	0.145676	0.1429855	0.285082
ACIN1	8.730001	9.1965942302	10.818214	12.054682	12.74285538805	15.21427
ACLY	39.61713	38.92758	51.7919	38.36152	49.05182	55.72622
ACMSD	0	0.0759072	0.552552	0.122452	0.0881444	0
ACN9	5.19116	3.92618	4.66353	3.7033	5.43691	6.0347
ACO1	5.11384	4.35215	9.46752	3.53467	10.4755	10.8945
ACO2	42.7749	39.0142	42.2424	49.4545	51.602	49.7279
ACOT1	3.06827	2.17492	1.35631	1.75516	1.91061	1.79442
ACOT11	1.078178	1.299061	0.985565	1.49205	1.506487	1.813352
ACOT12	0	0	0.0555604	0.18455	0.0531645	0
ACOT13	5.75971	4.26771	6.357711	6.153357	8.207285	6.816462
ACOT2	17.79563	15.601419	19.212199	18.08812	21.51593	18.690025
ACOT4	13.5899	8.37662	13.6089	8.90617	12.9575	8.53175
ACOT6	0.115639	0	0	0.0784249	0	0
ACOT7	93.6231500854116	94.3004590082592	71.62682	100.508	65.319937199113	86.72809
ACOT8	32.2426	23.3809	30.745	32.195	40.9426	22.8069
ACOT9	15.702143	15.765591	18.89786	19.57277	21.27834	22.3429
ACOX1	4.7007	3.777827	5.797011	4.974325	7.56497	6.858587
ACOX2	0	0	0.0948315	0.157469	0.27221	0.271334
ACOX3	4.60268	4.749136	4.55767	4.84513	8.05097	6.319303339
ACOXL	0.135142	0.227392	0.230326	0.244767	0.264454	0.702897
ACP1	61.0767	56.31247	78.59075	63.77989	124.35511	103.78746
ACP2	12.8192	11.967922	13.1398	14.187534	13.048309	16.7329
ACP5	20.743041	6.96584	40.73126	11.15984	41.7715	19.50766
ACP6	3.25182	1.87447	5.35394	4.1296	5.88884	3.64177
ACPL2	1.78826	0.735189	1.826385	0.877413	1.94491	0.904126
ACPP	0.333545	0.110314	0.683694	0.299446	0.325256	0.848542
ACPT	0.332148	0.0698559	0.593428	0.169059	0.162274	0.648157
ACR	0	0	0.083208	0.165928	0	0
ACRBP	0.115087	0.145232	0.352873	0.0781456	0.506496	0.224506
ACRC	0.563525	0.474106	0.881783	0.900796	0.746283	1.29288
ACRV1	1.21043	0.407293	0.616885	0.328065	1.771731	0.708967
ACSBG1	0.071201741	0.029950748	0.14568127	0.09673627	0.34843215	0.34713968
ACSBG2	0.313056	0.0987672	0.320211	0.34556	0.651031	1.2211
ACSF2	4.69519	1.97504	6.07434	3.41652	4.03099	4.95281
ACSF3	10.143132	8.21987900148849	11.1283290013892	11.395076151625	11.308682	8.350751
ACSL1	1.70453	1.54972	2.56025	2.22287	5.51778	5.62903
ACSL3	5.17403	5.567005	7.06578	3.91135	10.09037	10.30781
ACSL4	3.49208	3.325299	3.283883	3.2557	5.147607	6.53604
ACSL5	19.60949	16.25969	29.15789	21.210017	26.58243	33.90382
ACSL6	1.465834286406	0.4649624671651	1.223390645	0.6784919	0.668353000411026	0.51305301079824
ACSM1	0.0525998	0	0.0537709	0.107159	0.0514515	0
ACSM2A	0.0356519	0	0.218833	0.0587122	0.417496	0.0804014
ACSM2B	0	0.0367834	0	0.106189	0.0870785	0.102231
ACSM3	0.50446	0.2363084	1.08305343176	0.524368	0.951285	0.548044
ACSM4	0.0626461	0	0.128027	0.0850661	0.245027	0.122215
ACSM5	0	0	0.225705	0.209871	0.129574	0
ACSS1	5.3543	2.6822400593112	7.4445000173859	2.539957	8.09465	4.78129
ACSS2	1.17032	0.695435422982	1.2335300124538	0.385471	1.306391	1.03743
ACSS3	0.24821	0	0.402866	0.242156	0.347873	0.894584
ACTA1	6.01136	15.8092	8.79283	7.10245	7.31522	6.95084
ACTA2	16.406563	7.1016	17.5053	13.4432	28.2832	29.383
ACTB	41527.6	42177.6	42561.2	38823.2	43973.5	43898.6
ACTBL2	0	0.0319089	0.193981	0.0515278	0.0742372	0.147936
ACTC1	0.0288893	0	0.0290186	0.096334	0.0277627	0
ACTG1	7047.8839	7838.2455	5904.5363	7154.5928	6115.8226	6936.1413
ACTG1P4	0.218127	0	0.335434	0.297371	0.430717	0.656734
ACTG2	8.57883	7.61345	2.30881	4.09364	3.1307	4.5998
ACTL10	1.33093	0.761404	0.816317	0.614588	0.833183	1.24617
ACTL6A	36.08434	34.81903	34.808414	42.68867	41.4865	48.83033
ACTL6B	0.43277	0.0606798	0.368364	0.0489612	0.211516	0
ACTL7A	0	0	0	0.105277	0	0
ACTL7B	0	0	0.0808046	0.161127	0.232003	0.617663
ACTL8	0.0583746	0	0.119319	0.11891	0.285443	0
ACTL9	0.391077	0.3948	0.159739	0.0530863	0.382194	0
ACTN1	1.80041	4.68169	4.5742	6.64507	5.94459	8.54932
ACTN1-AS1	0	0	0	0	0	0
ACTN2	0.0229724	0	0.0235136	0.0468299	0.0449888	0.0895866
ACTN3	0	0.0605448	0.1472958	0.317766	0.211304	0
ACTN4	85.6286	65.5444	92.6622	69.6958	105.078	90.9904
ACTR10	19.6448	17.581	26.5576	21.4833	24.1013	27.2247
ACTR1A	50.6848	42.859	58.1408	49.5943	63.7738	56.5353
ACTR1B	33.1901	27.5635	44.3262	34.4409	53.5151	47.4184
ACTR2	108.651882	93.518044	103.017	81.372264	134.161	132.485
ACTR3	477.685	455.251	483.158	413.423	527.68	509.962
ACTR3B	0.947742	0.693186	0.650653	0.888687	1.03218	1.62131
ACTR3BP2	0	0	0.298293	0.0797147	0.31049	0.957703
ACTR3BP5	0.200098	0	0.307143	0.117545	0.0783509	0.147497
ACTR3C	0.403651	1.08245	1.71856	1.45885	1.925489	2.5413
ACTR5	4.04334	6.15202	7.61026	4.93755	9.42804	8.30554
ACTR6	7.08797	4.87748	7.256157	6.377855	9.063117	13.49988
ACTR8	4.91022	3.8395	5.40887	5.18081	7.26712	8.73019
ACTRT1	0	0	0	0.0522781	0	0
ACTRT2	0.0782153	0	0	0	0.0764388	0
ACTRT3	0.26974	0.272318	0.330876	0.402978	0.685982	0.420939
ACVR1	1.1826	0.81651156242	0.453651	1.041194	1.4106	2.23427
ACVR1B	1.535095	1.581491	1.108160436945	1.949036202227	1.5719	3.11006
ACVR1C	0	0.0295447	0.0750137	0.0549581	0.0349041174243	0.0694676
ACVR2A	2.69325	1.59967	2.66687	1.72113	1.59513	2.59644
ACVR2B	0.269574	0.153593	0.368937	0.20845	0.282253	0.228693
ACVR2B-AS1	0.980371	0.85274	1.12547	0.887206	1.5774	1.42195
ACVRL1	0.435744	0.318494	0.719663	0.22652	0.937476	0.770234
ACY1	9.264165	7.45325	10.3369	7.52564	11.97272	12.5287
ACY3	1.12286	2.3252	1.23437	0.879203	0.0843877	0
ACYP1	29.02684	21.38714	37.276	20.7676	33.7505	36.3342
ACYP2	4.99746	3.65914	2.83334	3.76761	2.80233	3.61234
ADA	45.6968	40.5658	53.7428	26.2734	68.13	52.5961
ADAD1	0.113855	0.0478925	0.1643	0.109962	0.055676	0.2105819908
ADAD2	0.139432	0.0440915	0.0535761	0.0315662	0.051265	0.271959
ADAL	5.6109	2.73359	5.26152	5.16022	6.94378	5.70079
ADAM10	10.9363	7.70109	22.0031	8.76862	38.661	27.5517
ADAM11	0.0473001	0.0795903	0.242065	0.128562	0.301046	0.55338
ADAM12	0.0169542	0.0258528	0.0314422	0.138264	0.03321	0.066112
ADAM15	10.46362989	9.4543017	5.0645897158	5.01111276919802	10.7365419048947	11.1283660223309
ADAM17	8.50762	7.61214	10.3311	10.5383	12.2418	16.4004
ADAM18	0.0445311	0	0.136615	0.1276954	0.1621908	0.260564
ADAM19	10.4514	23.9973	2.0685	8.12992	2.5708	8.25003
ADAM1A	0.85752	0.533243	0.457662	0.709152	0.98521	1.2361
ADAM2	0.0402227	0	0.08228	0.0819653	0.0787235	0.0784469
ADAM20	0	0	0	0.0515665	0.185732	0.296095
ADAM20P1	0.069537	0.0292515	0.0711394	0.0472393	0.476432	0.135609
ADAM21	0	0.100638	0.0407834	0.0270847	0	0.0777654
ADAM21P1	0	0	0	0.0715139	0.051505	0.20542
ADAM22	0.2294590498216	0.128698451989	0.430305319709	0.127119	0.112281943566	0.286614
ADAM23	0	0.0291112	0	0.0235065	0.0338679	0.404876
ADAM28	2.54532	1.807499	5.42882	2.73723	7.54042	4.53336
ADAM29	0	0	0.100395	0	0.0986344	0
ADAM30	0.0706062	0	0.0722316	0.0239826	0	0.0688477
ADAM32	0.038906	0.0654644	0.35816	0.369994	0.22845	0.758776
ADAM33	0.280902	0.241198	0.514995	0.272299	0.452398	0.480944
ADAM3A	0.422762	0.0713234	0.389129	0.31587	0.539252	1.423675
ADAM5	0.0641579	0	0.065554	0.0871162	0.250927	0.250335
ADAM6	0.0590226	0.0496552	0.12064	0.20038	0.404047	0.230282
ADAM7	0.0309356	0	0.0316537	0.0420351	0.121134	0.0603269
ADAM8	99.80814	54.70329	152.12877	43.9215	178.07353	100.61863
ADAM9	1.19672	1.17821	0.937081	1.64358	1.28147	2.448617
ADAMDEC1	0	0.080998	0.26862	0.0980795	0.0470949	0.187789
ADAMTS1	13.4531	11.3186	13.3816	6.97012	18.6661	12.9415
ADAMTS10	0.492005	0.0827881	1.33444	0.15044	2.11966	1.53499
ADAMTS12	0.0418872	0.0176206	0.0857556	0.028464	0.0410185	0.0816725
ADAMTS13	0.362107	0.2691925	0.676679	0.690445	1.0515308	0.695336
ADAMTS14	0.4333636	0.298293	0.8469685	0.3747905	1.0033000003794	0.5760999
ADAMTS15	0.0910844	0.0306532	0.0186499	0.0495192	0.0178408	0.21311
ADAMTS16	0	0.0175479	0.128103	0.0708662	0.26552	0.0406676
ADAMTS17	1.01101	0.242743	0.339784	0.373481	0.637122	0.539841
ADAMTS18	0.0174703	0.0146985	0.196747	0.106853	0.11977	0.170312
ADAMTS19	0.0203734	0	0.0625672	0.0553787	0.179562	0.0794484
ADAMTS2	1.5373316	1.2887867	2.7777649	2.0100271	3.1705579	3.5588671
ADAMTS20	0.0360631	0.0151707	0.0184603	0.0367617	0.0706377	0.281256
ADAMTS3	0.0177496	0.0448004	0.0545155	0	0.0347669	0.138428
ADAMTS4	0.706032	0.871625	1.39133	1.07966	1.50108	1.59788
ADAMTS5	0.0635862	0.0178327	0.0651188	0.0792343	0.0934355	0.185947
ADAMTS6	0.0566149	0.0476327	0.0724633	0.0673356	0.124772	0.248353
ADAMTS7	0.376982	0.111009	0.231559	0.134735	0.157674	0.183757
ADAMTS8	0.0285975	0.0240599	0.146321	0.349739	0.0279969	0.278828
ADAMTS9	0.042201	0.0118352	0.0864235	0.0382418	0.0551145	0.109703
ADAMTS9-AS2	0.0963227	0	0.049243	0.0327087	0	0.187879
ADAMTSL1	0.0393006	0	0.05901331	0.2352398	0.102657	0.127702
ADAMTSL2	0.318939	0.2689818	0.909193	0.60505	0.611004	1.26198
ADAMTSL3	0.112177	0	0.0287159	0.0667096	0.082408	0.0546762
ADAMTSL4	0.2514516	0.4656952	0.888731	0.397462	0.929994	0.35658
ADAMTSL5	1.38159	1.08274	1.88178	1.14298	2.57393	3.12429
ADAP1	11.9388	9.07466	14.0934	14.2761	13.0789	14.8348
ADAP2	1.01809	0.833235	1.94222	0.965395	1.97094	1.96507
ADAR	28.933720804188	21.260184	36.445392	27.46693627573	39.501903	39.032210906
ADARB1	1.528445	1.952852	1.67294	2.552448	1.7999209975	2.043449
ADARB2	0.211063	0.156517	0.770369	0.521074	0.375205	0.655991
ADARB2-AS1	0.196693	0.496329	0.399641	0.133137	0.191427	0
ADAT1	6.64612	5.1591	9.68364	8.150722	10.48474	10.90868
ADAT2	1.5805	1.3813	1.71724	1.50534	2.55581	2.73511
ADAT3	0.607921	1.09231	0.828079	1.14639	0.858486	1.06752
ADC	0.935582	0.662828	1.76207	0.367855	2.55311	1.53675
ADCK1	2.49952	1.066418	2.647966	1.43508000054496	2.34916	5.24560122545
ADCK2	4.25152	3.15827	2.68253	3.16406	3.36323	3.17579
ADCK3	4.05019	3.25538	9.28538	2.89877	13.0956	9.02712
ADCK4	10.45314	8.72504	8.89119	8.46899	10.59219	13.74053
ADCK5	12.6376	15.2282	11.1124	14.7272	13.7099	14.7482
ADCY1	0.166133	0.114881	0.393219	0.220921	0.313022	0.358132
ADCY10	0.0417832	0.0527307	0.106929	0.0851801	0.0613752	0.244409
ADCY10P1	0.371784	0.0780583	0.560389	0.224307	0.81604	0.451242
ADCY2	0.384569	0.279733	0.448404	0.265431	0.607393	0.807388
ADCY3	5.81902	4.58258	4.80946	7.5499	5.23026	12.0636
ADCY4	0.0922496	0.0776081	0.288001	0.152973	0.1805999	0.3597794
ADCY5	0.101173	0.136193	0.310707	0.0690318931	0.257602	0.165031
ADCY6	0.361415	0.259742	0.836593	0.951809	0.717962	0.929399
ADCY7	25.9975	17.8689	27.4606	16.5707	37.5014	26.0324
ADCY8	0.0254429	0	0.0520791	0.0864389	0.0996451	0.148836
ADCY9	0.797911	0.447547	0.585552	0.424801	0.573155	0.933378
ADCYAP1	0	0	0.033815	0.0224536	0	0.0644536
ADCYAP1R1	0.198033916535	0.11313415219	0.30578901673499	0.15899538669	0.347980481	0.26397884048
ADD1	27.630224	20.079691	37.0529192	25.47790729	41.394855	32.6492
ADD2	0	0.1418292	0.0579711	0.2237829	0.2058744	0.646486
ADD3	14.557038	8.50838900932516	25.83117	11.813802	46.24743	28.106741
ADGB	0.0195835	0	0.0400956	0.0266163	0.0958916	0.0763674
ADH1A	0	0	0.075335	0	0.0720969	0.287841
ADH1B	0	0	0	0	0.0387456	0
ADH1C	0	0	0	0.102146	0.0735429	0.146817
ADH4	2.42517	2.44428	5.41787	3.53196	5.75509	6.02935
ADH5	30.5169	27.3318	28.951	29.4138	32.4212	33.7187
ADH6	0	0	0.115997	0.1080092	0.2123015	0.465804
ADH7	0.0512392	0.0393734	0	0.0347968	0.095911	0
ADHFE1	2.11825	0.818787	3.74482	1.6327	4.75922	3.12705
ADI1	52.6815	43.2753	34.392	46.8149	27.7352	40.4232
ADIG	0	0	0.160739	0	0.461777	0
ADIPOQ	0.994559	0.47449	1.231640241292	0.914337	1.90324	2.08804879515
ADIPOQ-AS1	1.33945	0.744004	1.88932	1.37848	2.52375	2.72101
ADIPOR1	62.41315	61.168132	80.17092	64.84998	93.42246	102.29915
ADIPOR2	3.21412	2.7928	4.15216	3.52641	5.02983	5.18859
ADIRF	0.186525	0.156892	0.189573	0.252565	0.36319	0.364277
ADK	5.67894	7.398426	6.945914	9.084349	8.56467	12.20599
ADM	0.0766138	0	0.156478	0.104002	0	0
ADM2	2.013125	1.950327	1.703074	3.633129	1.931766	3.62411
ADM5	0.356864	0.30023	0.781789	0.761671	0.698187	0.89498
ADNP	3.85486	2.86924	5.23287	2.6799	6.17799	4.15991
ADNP2	3.47853	2.24752	2.73474	3.04301	3.74538	3.33498
ADO	4.91961	4.37552	4.57412	4.96609	5.55946	10.1414
ADORA1	0	0	0.148239	0.172269	0.0375408	0
ADORA2A	0.7466	1.83376	1.62552	2.27363	2.07	1.69882
ADORA2A-AS1	0.746105	0.533126	2.073403	0.971386	1.62577	2.435347
ADORA2B	1.37946	0.574925	2.24761	1.14293	1.43448	4.22609
ADORA3	0.150064	0.0420831	0.9472149	0.199122	0.477726	0.6660338
ADPGK	33.63934	29.72802	51.12585	31.33114	61.13037	49.39905
ADPGK-AS1	0.854713	0.273821	0.835707	0.328945	0.724893	0.799962
ADPRH	6.38152	4.39277	7.8732	8.83718	4.66288	7.62144
ADPRHL1	0.0641579	0.10795	0.250302	0.0393865	0.125463	0.339469
ADPRHL2	30.2953	31.4774	32.0781	45.047	33.1656	34.7301
ADPRM	1.96571	1.40871	3.49496	2.52038	3.62937	4.26155
ADRA1A	0.4221992	0.476327	0.756117	0.6118122	0.642735	0.713564
ADRA1B	0.0475717	0	0	0.0646173	0.139624	0.185577
ADRA1D	0	0	0.122254	0.108254	0.0779795	0
ADRA2A	0	0.0454198	0.0552481	0.055021	0.0528549	0
ADRA2B	0	0.0542119	0.131857	0.196995	0	0.251316
ADRA2C	0.0552764	0.0930076	0.0565006	0.0750706	0	0
ADRB1	0.513731	0.175987	0.41615	0.386092	0.506741	0.577007
ADRB2	10.041	1.51166	32.9003	2.54803	72.1121	21.6481
ADRB3	0.449961	0.0832785	0.4623	0.403633	0.335399	0.649736
ADRBK1	63.7799	54.0957	70.4089	72.3929	77.6274	77.3479
ADRBK2	1.07172	0.87908	1.27059	1.43485	1.27508	2.20184
