Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
ABCA11P	4.83366	2.5805	2.01881	1.5285	2.12565	4.07948	1.57355	3.21197	2.19983	3.14555	2.35198	1.87836	1.83674	1.43594	2.69402
ABCA12	0.213653	0.0340296	0.0341053	0.116454	0.0906089	0.163762	0.0975689	0.039846	0.0419742	0.12186	0.125398	0.13491	0.0261027	0.0381808	0.159887
ABCA13	0.380791	0.114136	0.203209	0.173594	0.30713	0.301246	0.130412	0.0884961	0.114813	0.228721	0.322304	0.161354	0.144263	0.151988	0.276804
ABCA17P	0.163796	0.466713	0	0.048856	0.0888387	0.120396	0.12748	0.0780276	0.130713	0.119405	0.204794	0.144133	0.0511348	0.0747817	0.258453
ABCA2	9.4443	3.744819844	3.10105	2.96351	7.52592	11.33217	4.6154027281	4.15202444	4.69508	9.76276	18.93493	5.98453	5.7118900278208	5.28571588	15.09813
ABCA3	4.56312	1.50072	2.00523	1.81347	1.63753	4.31375	2.77578	2.11085	2.46898	3.00441	2.99566	1.78775	1.71066	2.49041	3.59636
ABCA4	0.102698	0.0940548	0.025136	0.0735637	0.100183	0.113163	0.0359574	0.0330373	0.0732479	0.0505226	0.115533	0.0271176	0.0144289	0.0422097	0.0160712
ABCA5	1.771476	0.461109	0.3218851	0.64277	0.827053	1.644083	0.478226	0.4712246	0.45731	1.033179	1.27927	0.526305	0.564183	0.400089	1.352307
ABCA6	0.0142997	0.0261928	0.0174969	0.0511986	0.104663	0.189139	0	0.0153303	0.0145687	0.046904	0.0965338	0.0377538	0	0.0440737	0.0223873
ABCA7	27.9068	5.5042	7.5034	5.56888	14.6582	15.6805	4.91267	5.07015	5.35807	15.2545	28.1389	7.68659	8.7698	10.0461	28.8572
ABCA8	0.13216	0.0242077	0.0839278	0.073329	0.0967207	0.0291319	0	0	0	0.021674	0	0	0	0.0135783	0.0620647
ABCA9	1.12745	0.361232	0.358181	0.2966	0.985	1.16197	0.364929	0.25042	0.165965	0.65717	1.28372	0.382449	0.265961	0.463434	1.22389
ABCB1	16.9922	1.29648	1.22178	2.22946	8.05602	12.1076	2.80144	1.96825	2.47769	15.0799	21.0563	3.2954	2.33062	3.20999	19.6209
ABCB10	9.29266	3.95602	2.20572	2.00321	6.23934	8.78309	3.28484	2.90923	3.95603	11.7002	6.59994	4.18425	4.06385	4.3351	6.08352
ABCB11	0.270333	0.0291279	0	0	0.0388029	0.0350596	0.0371258	0	0.0162004	0.078243	0	0.041982	0	0.032673	0.0249
ABCB4	0	0.0752021	0	0.159875	0.0499757	0.0900796	0	0	0	0.225641	0.137828	0	0	0	0.0635066
ABCB5	2.406827	1.305346	1.100324	0.881409	2.272281	2.028539	0.760276	0.987427	0.833527	1.651551	1.827335	0.851099	0.777271	0.780385	2.438178
ABCB6	8.79278	5.99313	8.15929	11.2922	2.43479	3.49649	6.14875	4.76506	4.24359	3.01926	1.49602	3.77781	5.85251	5.14511	3.00489
ABCB7	20.141349	4.11896	4.294217774171	5.50377	5.4153	6.79469	4.42838152507	3.052638	3.260165	5.35238	6.79167	4.2839899	4.915481	4.325549	10.67785
ABCB8	15.1036	10.1034	12.1672	14.4899	12.47	10.7662	11.5142	9.49508	12.4285	10.9624	6.86352	6.59566	8.45553	9.74966	8.86582
ABCB9	1.10112	0.46750800149044	0.5312920737832	0.5897136	0.22046	0.448111	0.107391000344913	0.612522	0.0468415	0.0754385	0.488802	0.212414	0.355296000657869	1.06645	0.35742500116372
ABCC1	18.6179	8.5623	9.61356	10.6633	11.4016	10.1762	5.88483	4.99992	7.39579	10.9431	7.54606	5.24643	6.29323	6.72656	9.43732
ABCC10	17.28526	6.08818	6.33197	7.14245	11.37787	8.38445	6.60341	4.60775	6.857346	11.175747	12.40281	7.712285	8.05692	6.78669	12.87181
ABCC11	0.102298	0	0.0406511	0.0762891	0.0832163	0.0751864	0.0387867	0.0182756	0	0.167786	0.153478	0.0900207	0.0958094	0.0525447	0.0488838
ABCC12	0.190615	0	0.0538223	0.0131242	0	0.0969728	0	0	0.044815	0.168333	0.0659902	0.0580675	0.0411992	0.0451919	0
ABCC13	0.833636	0.15892	0.262519	0.172383	0.613016	0.447161	0.259029	0.237525	0.225867	0.516359	0.559114	0.291517	0.120523	0.0862953	0.434862
ABCC2	0.0750547	0.0549913	0.0183667	0.0134355	0.109876	0.297836	0	0	0.030586	0.123095	0.236455	0.0594461	0.0210888	0.0616864	0.0235026
ABCC3	0.1680679	0.0537367	0	0.0525175	0.391585	0.161686	0	0.3148316	0.0149442	0.2068999	0.165041	0.135544	0.0618233	0.0883379	0.2639102
ABCC4	3.24208	1.613536	1.847107	4.00793	1.95691	1.748559	2.20736	1.168691	1.365254	2.211949	0.980761	1.396391	1.642599	0.73075	1.019268
ABCC5	8.48976	2.794387	3.5153	2.681065	5.41648	4.37195	2.38792	1.501651	3.23651	6.30872	5.18112	2.383829	2.82387	2.359469	5.32813
ABCC5-AS1	0.429729	0	0	0	0	0.960933	0.252539	0	0	0.354681	1.94647	0	0	0	0.687427
ABCC6	0.151159	0.0614059	0.144992	0.106065	1.029269	0	0.0720952	0.1328794	0.2021944	0.170053	0.489155	0.136874	0.237386	0.0304356	0.115957
ABCC6P1	0.136433	0	0.0347944	0	0.134856	0	0.0275907	0	0	0	0.366739	0.112629	0	0.0292175	0.0446117
ABCC6P2	0	0.171882	0	0	0	0.283001	0	0	0	0	0.506961	0	0	0	0
ABCC8	0.0304735	0.0279093	0.0372856	0.068187	0.0371773	0.0671826	0.0355718	0.032668	0.046569	0.0249895	0.411452	0.160906	0.0428119	0.0313069	0
ABCC9	6.9646301	2.58963	2.09507	2.5435	5.6161	7.48541	2.55286	1.38066	1.60013	5.4082179	7.52249	3.21456	2.57403	2.01456	5.90808
ABCD1	2.42375	1.10993	0.996821	0.915947	2.34647	1.52077	1.46372	1.1196	1.17063	1.67944	4.27955	1.18581	1.84919	2.0818	3.69905
ABCD2	4.15366	0.856904	0.572419	0.596399	1.10676	0.562518	0.0330948	0.151981	0.404404	1.25548	1.72261	0.187141	0.298747	0.262162	0.843365
ABCD3	4.71748	4.84349	2.896067	2.702647	3.94652	6.37793	4.33437	4.38824	4.91432	5.16554	5.08168	3.87561	4.231	3.347748	3.78319
ABCD4	29.719	8.64346	7.73704	9.81845	13.95549	13.34319	7.18959	6.255483	8.05033	15.38485	19.60372	9.32045	8.02441	7.90681	21.13009
ABCE1	10.261328	13.05444	9.381444	10.525598	6.32561	5.891249	11.719893	8.807416	12.71395	5.6196	2.90379	9.500852	8.133846	6.63548	4.59829
ABCF1	58.66252	51.82966	56.4006	62.1852	41.57389	40.0081	43.690221	51.5716	50.31781	43.820628	31.653019413	45.9955	48.47639	58.60252	31.185387
ABCF2	27.310798	25.2901	24.465033	37.691374	15.83536	13.3845	22.34418	19.933073	24.303708	16.900488	14.77964	17.733884	19.864819	19.273464	15.090225
ABCF3	19.129	19.0982	18.5136	18.1814	12.9228	10.2048	13.3063	10.0667	10.5871	13.4375	11.4304	10.2873	13.1587	15.5464	15.0707
ABCG1	4.248068	0.91428946649	0.1880157	0.373578	0.44909	2.95797121625	0.185177	0.226511	0.0538356	1.977219	2.118905	0.313874	0.148495	0.162847	0.950538420189
ABCG2	1.2741466	0.723468	0.588267	0.645436	0.628624	0.308888	0.140328	0.0920353	0.0725889	0.0584362	0.20045	0.0906685	0	0	0.223193
ABCG4	0.0424241	0.0730181	0.0518956	0.0189765	0.155363	0.219782	0.0742994	0	0	0.0695915	0.134577	0.131533	0.0595969	0.0653637	0.530788
ABCG5	0	0	0	0.0505672	0.20726	0.124807	0	0	0.0576009	0.139189	0.0636623	0.111941	0	0	0
ABCG8	0	0	0	0.0260285	0.142265	0	0	0.0311855	0.148252	0.0477675	0.196632	0.115243	0	0	0.0456513
ABHD1	0.167948	0.102562	0	0.749178	0.137149	0.866604	0.196345	0.119757	0	1.10314	0.504603	0.147616	0.0786099	0	0.528238
ABHD10	6.253619	5.932834	5.684796	9.174813	4.84521	3.76452	4.20467	4.015187	5.345866	5.30802	5.04205	3.956698	4.411573	5.028151	6.632388
ABHD11	12.485938	10.60235	11.4587	14.05149	11.1554	8.54491	11.960834	9.657871	11.1965	9.338168	11.36516	10.65833	11.75473	12.07418	14.25022
ABHD12	28.529001	16.973487	19.639264	17.078232	23.055452	17.117661	13.5503802	14.7973659	16.5072	24.282043	19.871488	15.9844413	16.905246	21.28705	19.326911
ABHD12B	3.33662	2.1044	0.801886	1.12251	2.679742	2.29805	1.27889	0.468078	0.946478	2.60468	3.697577	1.73084	1.15213	0.729585	2.49425
ABHD13	1.99964	2.30229	1.03112	1.27848	2.23022	2.33001	0.916968	1.19438	1.16414	2.36591	3.98544	0.848476	1.52505	1.51144	2.23613
ABHD14A	15.4116	11.9927	14.0975	14.4388	15.7318	6.65906	9.3362	11.5692	13.9581	16.2575	16.1685	14.1171	18.4834	17.3299	15.7243
ABHD14A-ACY1	4.62452	0	2.61109	5.33791	3.57307	1.3596	4.50799	2.85396	3.91384	5.98188	1.72033	2.3619	0.000470606	4.55058	2.66605
ABHD14B	33.65843	13.1494	16.10746	11.58586	24.64999	26.452882	12.591481	15.69808	15.93542	34.07827	23.97634	12.634925	12.03456	13.67783	28.98682
ABHD15	16.9624	4.53758	4.2793	7.27084	9.38593	11.0438	4.35311	3.01349	4.46406	8.78383	14.7044	6.74428	5.72168	4.45852	18.8013
ABHD16A	42.361915101217	21.16394854707	17.7893338519	15.05173	25.60303	21.57724371864	20.5675510005188	18.3228590159269	24.03772	28.77541	26.78731	18.59011	22.472293	22.600261	25.71197145864
ABHD16B	5.59892	4.84127	4.59826	4.99952	7.56312	7.81851	3.66401	4.26651	5.74578	10.2202	6.75995	4.37144	4.34038	4.73508	6.75407
ABHD2	19.28853	7.022711	5.228328	7.595512	12.10957	15.58458	6.0702	6.04351	6.150443	15.66816	8.821875	5.588883	6.29059	5.648954	11.39739
ABHD3	14.2635	10.7591	6.71351	8.85892	15.2957	11.7072	10.0252	8.16645	13.1257	8.01176	8.33113	10.0114	10.9807	7.55619	7.60234
ABHD4	14.2994	1.81825	1.93437	2.88368	4.09331	5.81952	2.06506	2.29238	1.29516	6.87102	10.1265	2.00537	3.04981	4.61825	10.3136
ABHD5	1.6766	1.60625	2.18058	2.82643	1.63146	1.78831	1.60941	0.985611	1.88769	0.862646	0.961701	1.19495	1.43898	1.87451	0.841426
ABHD6	1.27159	0.238909	0.438531	0.0874271	0.637536	0.719756	0.799775	0.628545	0.830098	0.374517	0.807555	0.430173	0.366372	0.636071	0.562606
ABHD8	4.2149	2.6197	1.61019	3.63131	8.74263	3.40738	1.67071	2.01465	3.90864	4.44691	3.81375	3.17719	3.64704	3.59294	3.48487
ABI1	19.91784668743	6.112424	2.202215	6.999222	9.518850195	12.766938	5.89880061	4.95933800039949	4.836028	8.43022084	15.923941	6.4474959	5.987032	6.331175	21.0218000724974
ABI2	5.50313	3.5458	2.16114	3.48044	4.17226	3.55231	3.12445	2.07391	3.98748	3.7131	3.53332	3.4594	3.21195	2.89398	3.1252
ABI3	92.80717	97.06236	88.70799	91.18982	47.36805	69.5292	86.71315	97.12882	107.10847	62.25621	76.55038	113.82193	130.2332	138.5173	77.74689
ABI3BP	0.0170065	0.0311512	0.104034	0.0608771	0.166011	0.149992	0.0595593	0.0546883	0	0.0557871	0.15309	0.0224483	0.0238918	0.0349412	0.106531
ABL1	6.75792	1.569826	2.99126	3.16919	1.850958	1.827325	2.046672	2.319617	2.462019	1.912476	3.25636	1.72488	1.638303	1.7755234	3.34329
ABL2	1.7278696	0.59934682134836	0.9353745	0.621460563	1.19233505685687	0.939174046	0.48750861904	0.668959832	0.75196661	0.889781130102188	1.25821343	0.758331027	0.57624637	0.78026027	1.3833578
ABLIM1	13.0462508	0.741799	0.350412	1.14614194	7.22556	11.08902	1.4656808	0.614074	1.768952	10.0091173	23.512279	2.048465	1.9622265	2.1843001	29.07471
ABLIM2	0.3851335496	0.1244955807	0.05542235951	0.202649903637	0.411565	0.14992062535	0.1721803	0.0971407365	0.122855	0	0.305961	0.13368138441	0.29872	0.1760794	0.2129985953
ABLIM3	0	0.12869	0.0214883	0	0.128597	0.116186	0.0410086	0.0188264	0	0.144042	0.158111	0.092735	0.0493496	0	0.0275074
ABO	0.152583	0.186354	0.124289	0.0453943	0.124539	0.224862	0	0	0	0.250516	0.11459	0	0.0714228	0.104382	0.079941
ABP1	0.479972	0	0	0	0.0782044	0	0.037375	0	0	0	0.432279	0.126653	0.0877261	0.0657103	0
ABR	13.735441	4.922614	4.22656	6.487316	4.73855	10.208231	6.748528	8.411912	7.147829	11.68552	13.58553	7.48771	8.56905	8.89435	15.371526682864
ABRA	1.04183	0.502497	0.2588	0.555261	0.45429	0.542349	0.456308	0.21356	0.503503	0.591102	0.733196	0.347933	0.461275	0.685909	0.656069
ABRACL	69.0324	48.5655	45.9724	48.7605	54.355	75.6804	77.5983	69.1453	82.4063	64.1909	64.9171	65.0521	93.1095	68.0862	56.1743
ABT1	35.3831	34.4677	23.089	36.9062	25.7892	25.4292	23.7572	26.8159	26.2048	23.3281	21.4959	23.9103	27.2049	25.7809	24.9632
ABTB1	42.75752	5.18912	5.8734200024503	8.45367	26.1192	23.8469	3.23539	5.768748	5.776300022423	27.00944	46.20808	7.8263	7.690055	8.49283	49.26453
ABTB2	1.98092	3.45839	2.68881	4.09996	4.00274	1.80832	1.66201	1.8581	1.84469	2.43667	1.00996	1.8386	2.47858	2.54385	1.5266
ACAA1	88.5359	40.19826	50.54732	53.89993	61.27117	43.57576	41.68729	44.70655	50.2054	63.02648	48.32318	44.92141	42.02892	47.8828	51.60223
ACAA2	98.5177	124.311	95.9368	129.222	80.6975	59.5958	98.4411	102.224	108.134	73.6714	62.5151	79.3161	95.3614	89.2518	52.6294
ACACA	1.880523	1.773437598976	2.7377205	2.450292	1.7495158	1.1685965	1.8756923	1.656250827475	1.859762072282	1.8117965	1.0779679	2.0563387763991	2.013060897046	1.5955031595787	1.4833912
ACACB	1.44071	0.311736	0.290397	0.199743	1.57456	0.543357	0.360803	0.244888	0.143428	0.577947	0.738657	0.308338	0.471499	0.671647	0.984617
ACAD10	12.42582	2.92559	2.600322	5.0108	5.66209	4.16512	2.2642	2.4091934	3.58332	7.57862	8.0541	3.29004	2.537829	2.432511	7.18423
ACAD11	6.84154	1.76613	2.41547	3.05579	3.91124	3.45553	2.25702	1.34298	2.14806	3.77825	3.44121	1.10244	1.90703	1.9547	4.35157
ACAD8	12.4672	8.80909	5.35651	9.89923	10.5378	9.51676	8.44721	6.63683	11.3171	14.8479	11.1496	7.37772	9.80599	7.2775	8.44014
ACAD9	16.43657	17.16351	15.00105	18.03767	19.781721	19.77186	18.28003	17.25556	21.32882	17.7691	9.60736	12.68734	15.16663	13.32136	11.16873
ACADL	0.156337	0	0.0382332	0.13975	0.076413	0.138033	0.0365205	0.0334893	0.0636859	0.153917	0	0	0.307431	0	0.0980821
ACADM	17.05975	9.94079	10.032266	13.977414	11.808495	12.9647	10.628697	9.71122	12.82153	15.763698	14.576347	10.66702	11.775855	10.96009	15.1155
ACADS	27.9787	19.7308	16.04	21.968	25.6412	25.3414	21.939	19.6577	27.0165	27.7707	24.4443	21.609	26.3122	33.4212	21.5116
ACADSB	8.6202	3.82863	3.09267	3.9065	7.01612	6.13038	3.08157	2.03448	2.94148	5.74339	7.32415	3.2061	2.85938	3.21296	6.37943
ACADVL	203.61784	140.549081	128.773603	175.5389054	179.6961372	120.75726	130.36352	120.24979	147.407113	220.086632974	125.9095	117.52699	124.010107	168.16989	144.4965879
ACAN	0.0424225	0.248651	0.0430004	0.0303919	0.107093	0.13549	0.059409	0.200176	0.121034	0.0563096	0.190886	0.0784161	0.037024	0.0971028	0.119473
ACAP1	264.479	117.611	114.138	118.53	144.919	173.769	102.318	107.255	111.431	167.927	276.744	125.368	143.271	162.089	275.955
ACAP2	11.1996	5.54774	5.07406	5.8748	7.21564	8.26512	4.88236	5.06638	4.84466	8.04545	10.8445	5.45759	5.39766	5.3626	10.3505
ACAP3	5.75852	4.80818	4.00758	5.07916	3.42751	3.23116	3.27846	3.2929	3.9383	3.93857	3.11424	5.049	3.43021	4.41013	2.70957
ACAT1	17.3737	21.7122	17.9997	17.5956	18.991	15.2809	19.6518	19.7061	22.3014	18.1829	12.7653	22.7734	21.8168	24.4492	11.38
ACAT2	45.5698	65.4278	44.1521	72.4647	46.4664	25.429	59.5728	46.6491	63.3836	31.1765	13.677	66.0842	67.1435	57.238	14.0468
ACBD3	5.50291	3.26813	2.68204	4.21134	4.40845	4.26711	2.96156	2.97161	2.97791	3.34983	3.77383	3.23419	3.35185	2.89236	4.14255
ACBD4	9.657599	5.13750800120859	6.78151	5.38148	8.353898	11.68896	5.267694	3.859651	3.32788	8.43275	11.472556	5.105257	4.033214	6.062258	13.63596
ACBD5	7.45105	3.471906	3.010743	4.153506	3.85449	4.03725	2.815869	1.785603	1.956746	3.24826	5.09758	3.017935	2.922444	3.180453	5.57784
ACBD6	28.0728	22.1708	30.9692	31.3003	16.0291	20.7201	24.174	28.0736	32.4651	26.7089	17.4317	28.5162	28.557	28.1973	17.382
ACBD7	7.87673	2.85356	3.19708	2.84237	5.4356	6.61209	2.56691	1.52328	1.73527	4.24016	5.70651	2.60598	2.70776	2.3102	4.65653
ACCS	1.477309	0.231971	0.515903	0	1.65223	3.72977	0.394562	0.135543	0.601647	1.933347	14.65705	4.064062	4.94821	2.686139	11.26762
ACCSL	0	0	0.0533224	0	0.106752	0.192781	0	0	0.133256	0.0716151	0.0982714	0.0575419	0	0	0.0685198
ACD	17.767201	22.52139	24.137985	23.800352	15.0935	15.046929	19.609264	17.9477	21.301519	14.40692	11.475193	16.046105	19.05985	18.6810194	11.134794
ACE	0.12212	0.08630271	0.1089906	0.0438565	0.148986	0.168269	0.0714893	0.02627	0.12487372	0.270517	0.103054	0.120904	0.172205	0.0755422	0.0717032
ACE2	0	0	0	0.0195591	0.0533836	0.0964538	0	0	0	0.0358665	0	0	0	0.044915	0.0342582
ACER1	0	0	0.187486	1.4365	0.377075	0.340205	0.17971	0.164099	0.0781299	1.13571	0.173179	1.31545	0.107813	0.0787402	0.121049
ACER2	0.162699	0.149016	0.0994884	0.193979	0.0662414	0	0.0316672	0.1162	0.0276182	0.311423	0.24418	0.143129	0.0761802	0.0835416	0.0425115
ACER3	0.666052	0.739706	1.12712	1.37331	1.73651	1.70665	1.15923	1.15372	0.903517	1.6877	0.980497	1.17349	1.0039	1.18312	1.15567
ACHE	0.078333	0.14349	0.21743	0.063569	0.191336	0.115224	0.0609838	0.167847	0.108661	0.1751164	0.117559	0.234621	0.146713	0.107262	0.0818615
ACIN1	32.36026	25.76826628	27.365940119225	33.39444	28.24439	23.41657	21.27711160845	19.33314358274	19.02153	28.19249996	26.365934	18.720920453	21.060977	20.616618	27.49138327
ACLY	32.2171	24.80357	19.621000103764	25.43443	17.329242806	20.81753	21.29487	17.20827	25.65425	20.46951	16.4129	20.2064	21.34806	18.28653	21.07658
ACMSD	0.723117	0	0	0.234414	0.161205	0.290962	0.153763	0.14055	0.0668942	0.431916	0.444545	0.173288	0	0.471967	0
ACN9	6.92794	3.36564	3.13495	4.00092	3.83784	3.04311	3.75633	4.38485	4.91073	3.51786	2.32739	3.7868	4.13938	4.4401	2.52331
ACO1	1.685	1.10798	1.29483	2.16442	1.05486	2.14417	0.731458	1.08805	1.84843	3.26017	2.86876	1.62512	1.48699	0.99849	2.1662
ACO2	58.3624	31.6031	28.9434	40.133	29.6483	28.4134	26.0965	24.1674	35.2717	33.3115	23.3961	23.356	23.209	23.7384	24.7161
ACOT1	1.49007	0.964716	0.919946	1.59937	1.54214	2.09956	1.92119	1.47464	2.83322	2.37311	1.71256	0.924961	0.850723	1.37793	0.723744
ACOT11	3.19413	0.921309	0.67652	1.046547	2.575609	2.868227	0.804239	2.121355	2.34141	2.28809	0.881179	0.747816	2.062277	0.733609	0.775801
ACOT12	0	0	0.0484948	0	0	0.262872	0.0463521	0	0	0.0651136	0.178698	0.0523306	0	0.0814494	0.0622801
ACOT13	12.210008	7.126133	6.705054	6.0895315	7.03241	6.06095	5.14363	5.26758	4.5528036	6.392656	4.97956	4.61042	5.42741	4.99955	4.36376
ACOT2	16.671991	7.24672	6.292546	8.779954	12.33515	16.673944	8.974422	10.318647	12.33999	23.574681	21.20873	8.1893	9.376751	10.89558	18.14596
