Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
L3MBTL3	114	18	31	31	13	19.0000000302637	21	24	16	18	42	22.99998	25.99996	40	51
L3MBTL4	6	9	7	11	4	6	6	18	7	20	11	29	22	32	12
LACC1	85	15.99998	39	121	47	51	83	65	93	45.00001	30	62.3417	98	63	46
LACE1	78	9	22	39	8	10	15	17	24	15	8	10	22	24	24
LACRT	0	0	1	0	0	2	0	1	0	1	1	0	0	0	0
LACTB	85.00003	100	68	155	26	50	130.000000283196	101	134.9998	89	21	92	89	140.0001	38
LACTB2	118.928	55	57.0589	77.3047	38.8747	29.5847	58.6914	42.3439	55.9873	45.1229	19.5356	30.2066	35	47	47.1727
LAD1	0	2	19	5	5	7	3	0	2	0	3	2	1	4	9
LAG3	332	453	887	825	103	50	259	304	307	81	159	700	603	1251	168
LAGE3	790	398	602	1212	370	368	493	578	735	589	150	444	441	848	246
LAIR1	1376.809	186.2307	406.206	553.0921	213.6046	386.723	474.49	477.486	589.6828	600.876	537.973	517.8964	465.564	662.4367	766.3939
LAIR2	292.518	88	121.5962	201.6352	155	187.0002	238.711	243.7139	352.489	396.625	92	89	106	239.509	175.1485
LALBA	0	0	1	0	0	0	0	0	0	1	0	0	1	3	1
LAMA1	20	3	5	3	6	4	1	0	1	4	4	5	3	3	8
LAMA2	58	20	5.000001	11	5	7	12	8	1	6	12	4.999995	12.99997	13	8
LAMA3	10.000000131701	2	1	3	7	5.0000010742697	11.0000000682789	2.000000167586	6.000000104308	5.000000208991	4.000000331702	7.0000000285467	0	1	10.999959570454
LAMA4	74.17704	10.041153	19.273897	32.512404	32.54751	26.459667	16.143215	21.23839	30.3603	25.73441	31.33372	15.033849	18.025378	32.70311	38.22845
LAMA5	17	3	6	9	5	18	13	15	3	19	12	16	13	71	29
LAMB1	37	7	4	23	9	18	6	13	13	23	9	5	1	11	5
LAMB2	13	0	0	1	2	6	4	4	4	7	6	6	2	9	8
LAMB2P1	6	2	1	0	0	7	2	4	9	12	5	3	3	4	5
LAMB3	1.99999855	2.99999736	5.00000112	0	5.99999879	3	4.9999967	0	4.99999644	18.9999595	5	1.000000371	0.999999839	8.99999976	22
LAMB4	14	3	0	2	2	1	1	0	0	0	4	4	0	0	0
LAMC1	10	0	2	1	0	6	1	0	1	2	2	2	5	10	0
LAMC2	111.07	20.983	30.71055	49.2069	23.2289	36.13386	22.9509	20.5331	30.6744	40.5268	26.6404	38.6103	36.2025	46.3326	48.79486
LAMC3	6	8	5	1	4	5	5	0	2	6	9	3	5	4	12
LAMP1	438	90	169	212	124	154	117	142	200	156	148	167	140	251	196
LAMP2	1067.894	222.3251	278.3486	464.5202	228.6167	258.5021	314.4344	327.6147	391.3551	319.0403	281.1244	261.4436	243.9314	293.7262	336.4055
LAMP3	66.365	24.2517	48.4905	40.8068	42.7214	41.8346	34.8587	22.2949	23.0793	52.1018	27.5128	23.3066	26.2553	40.3225	27.4204
LAMP5	0	0	0	0	3	0	0	4	0	1	3	0	0	0	0
LAMTOR1	1313	416	835	969	334	351	697	708	800	568	401	571	581	895	552
LAMTOR2	1824.0036	758.0004	1444.0016	1889.996	490	564.99999	1134.9965	1314.9958	1438.997	752.9997	378	865.9999	719.00011	1418.0006	574.0003
LAMTOR3	278.0053	79.00003	72.00002	147.0039	66.00709	75	114.3586	85.00328	104.0032	120.39681	71.0069	57.0023	77.0774	102	116
LAMTOR4	3414	1178	2084	2556	921	1093	1733	2209	2273	1658	1002	1416	1544	2343	1597
LAMTOR5	992	454	724	1252	329	304	619	737	843	411	280	519	472	710	405
LANCL1	217.735	56	56	112.99974	64.915000011236	78	136.00017235	84.946	145.921	118.5679	85.8885	92.00003243231	93	98.9655	129.9168
LANCL2	247	111	145	268	62	74	116	139	222	151	24	99	124	131	86
LANCL3	25.1568	27.00004	32.0859	15.4015	5	16.0397	32.19716	34.0545	39	1.00268	4	32.00002	27.07632	34.0000407	9.01907
LAP3	829	626	872	1614	306	356	1035	1020	1281	532	295	637	786	901	352
LAPTM4A	437	153	179	485	139	137	263	256	308	219	121	194	214	311	198
LAPTM4B	26	15	65	53	12	36	84	84	72	50	42	59	70	112	67
LAPTM5	12282	1734	2194	3405	2070	3792	3319	3097	4385	4933	4513	2720	2544	3629	6699
LARGE	29.00000086954	3.000000547336	7.000000155637	3.0000000217082	4.000000330693	6.000000236263	9	1.000000177106	4.000000221764	5	0	3.0000000936991	5.000000222152	4.0000000808494	5.000000572249
LARP1	1763	1312	1828.99	2487	507	533	1526	1405	1576.98	711	418	1066	1086	1407	541
LARP1B	162	74	122	155	40.9999	63.0001	99.00001	86.99996	91.00009	69	37	36.00001	58.00001	96.00005	44.99995
LARP4	280.9757562126	187.999983400027	339.00006825	371.99990003445	130.999987	116.0000661	310.9996203193	239.999886	361.99983	167.999975484951	80.9589434	261.000060270067	210	300.00000630673	178.00006789
LARP4B	1446.64	579	657	1041.7	257.506	353	617	544	599	476	341.98	513.998	429	666	386
LARP6	0	0	0	0	1	2	0	0	0	2	1	0	0	2	4
LARP7	1032.0009	303.00026	426.0002	702.0009	299.00039	327.0002	399.0003	400.99975	440.00023	359.9997	319.9992	362.00045	389.9999	567	406.00041
LARS	1162.98	506.46	852.334	1237.85	257.205	272.372	534.764	528.468	654.247	346.649	130.353	465.829	436.048	650.758	295.446
LARS2	185	119	183	223	113	56	192	159	180	105	63	118	177	129	82
LARS2-AS1	90.2988	22.6473	40.4548	47.7432	35.667	31.1744	22.2586	26.3659	18.5672	30.0771	25.6758	24.3088	28.2103	45.0213	38.4598
LAS1L	1319.00000002032	838.001	1125.9991	1904.996	427	367.0002	887.9998	1030	1327.999923528	570	231.0007923	802.9997	841.99983	1133.000231	438.000000113465
LASP1	9820.0046	2508.99644	3289.9959	5159	2326.0048	3260.9963	4635.997	4398.9982	5300.999	4755.0079	3071.0049	3640	4008.0035	4418.997	4675.9967
LAT	2467.996	390.0001	643.9998	1180	638.9999	770.0003	788.9998	827.999	892.9996864	1154.9998	723.9999	758.0001	823.9992	829.9999	1133.999
LAT2	2585.669	1227.999	1325.233	2227.001	494.58	718.097	1812.402	1696	2496.784	946.404	1254.394	2271.005	2480.999	3199.245	1537.373
LATS1	397.9	85.0134	142.0068	210.9928	99.49114	127.110043	149.2755	122.57910719131	156.179601	174.8587	151.3312	120.01	162.6808	146.25398	190.6596
LATS2	119	15	38	28	30	45	39	36	58	62	48	45	47	86	79
LAX1	427.3912	65.875	87.7142	419.533	112.021	226.7989	149.0105	132.4793	222.1572544	363.58	258.247	161.81431	146.6592	248.418	346.955
LAYN	110.773	13.4918	20.53582921047	86.16423	17.3016	23.2464	22.01564808	25.9866	9.10388	76	40.9692	41.5082	33.9666	43.6109	56.4794
LBH	1339	152	255	493	410	507	364	372	511	1004	840	379	369	581	1025
LBP	0	0	3	1	3	1	1	0	0	7	1	1	0	1	2
LBR	2284	682.9995	797	1650.9971	677.9999	787.0003	1046	741.9997	1283.0006	1038	737	798.9997	826	1002	991.0004
LBX1	2	0	1	1	0	1	0	1	0	2	0	0	2	1	0
LBX2	20.6657	13.2468	9.52161	16.314	14.6495	21.4909	4.92403	1.92305	4.97672	17.7054	31.2805	6.53791	8.66795	13.7394	34.9601
LBX2-AS1	112.594	7.75316	7.47839	30.8771	32.2304	48.0889	38.076	33.0769	75.0233	66.5001	65.7195	30.8348	30.3321	57.2687	82.6394
LCA5	9	0	0	12	7	6	4	0	2	5	2	3	6	4	7
LCA5L	22	0	1	2	3	1	1	0	3	9	9	2	3	1	3
LCAT	456.524	11	34.3135	137.779	110.007	148.56	55.4958	72.6057	67	250.538	90.0089	71.1654	39	83.5894	202.764
LCE1A	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
LCE1B	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
LCE1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1E	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1F	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LCE2A	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0
LCE2B	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0
LCE2C	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
LCE2D	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LCE3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LCE3B	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
LCE3C	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0
LCE3D	0	1	0	1	0	1	0	1	0	3.22451	0	0	0	0	0
LCE3E	0	0	0	1	0	2	1	0	0	1.77549	0	0	0	0	0
LCE4A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
LCE5A	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
LCE6A	1	0	0	0	0	0	2	0	0	0	2	0	0	1	0
LCK	7330.9996	2176	2292	4316	1173	2280.0003	4526	4299	6191.0012	3348	2033	2967	3079.0005	4408	3176
LCLAT1	202.0728	87.5345	124.2985	132.365872	63.7827	44.8078	88.0377	63.9597	80.1556	71.6808	37.66759	63.8202	58.6753	51.4893	54.9972
LCMT1	1186.005	278.0004	561.9998	725.9999	327.9998	292.0004	534.9997	420.0002	644.9996	362	335	423.0003	422.0004	593.9999	410.0002
LCMT2	280	180	267	241	123	80	197	161	213	134	27	99	109	270	43
LCN1	8.00000193946	1.000000394	0	0	0	2.999995048544	0.999999832107	0.999999712	0	4.0000014692	0.99999981875	0	3.9999983213	2.000002272192	1.99999764444
LCN10	14	2	22	1	1	4	24	9	0	11	2	2	0	5	1
LCN12	1	1	1	0	0	0	0	1	0	0	0	2	1	1	2
LCN15	0	1	0	0	3	2	0	0	0	1	1	0	0	3	1
LCN2	0	1	1	0	1	0	0	0	1	1	0	1	0	0	2
LCN6	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0
LCN8	2	3	3	1	1	0	2	4	0	1	1	4	1	2	4
LCN9	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
LCNL1	1	1	0	2	1	0	0	1	0	2	1	3	0	2	0
LCOR	300	46	84	133	73.99999	91	89	81	105.00002	118	92	93	76	130	161.9997
LCORL	136.2438	36.6046	34.5937	89.8865	30.27442	35.17242	36.2011	26.023	55.1591	52.3313	28.26779	46.35111	42.4498	56.1952	51.86004
LCP1	21534	9490	10366	16577	7800	7410	16323	12997	16934	9774	7160	15676	14427	16318	11586
LCP2	1134	448	578	926	369	433	832	662	967	569	450	703	708	919	617
LCT	10	1	4	0	6	8	4	0	2	10	4	3	3	10	2
LCTL	3.35272	3.09358	7.54017	12.647	3.06134	1.09788	5.45026	7.68518	1.04393	2.11384	0	4.35438	0	2.06841	1.08993
LDB1	519	93	124	222.0002	90	112.9995	158.9997	163.0005	246.9996	150.0003	155.0002	121	161	213.9999	167.00019
LDB2	2	4	0	0	2	47	23	31	40	55	98	29	21.99998	24	140
LDB3	72.8764	30.8599	41.23986	49.9309	23.9886	36.9401	31.8082	13.2757	25.6978	30.6605	39.47879	19.7683	29.86669	34.5117	42.6739
LDHA	13794.0293	14049.0467	15508.9825	24899.9623	7035.0016	5665.0009	25099.02195	20722.9532	25596.9804	7560.0044	3311.00231	18664.9902	16979.0049	21597.01714	5813.0036
LDHAL6A	50.9316	7.47562	13.3978	19.9605	20.4761	19.4801	13.9678	12.3838	17.6987	24.1438	28.4752	16.47306	5.35563	25.2372	36.8474
LDHAL6B	1	0	2	2	2	3	2	0	0	2	0	1	1	0	0
LDHB	9022.9982	8072.9977	11318.0161	14479.037	3990.00329	3777	13917.0141	13215.0009	14225.9824	5136	2396	9644.99738	8766.00239	10886	4305.99838
LDHC	0	0	1	2	0	1	4	0	0	2	4	13	10	8	5
LDHD	3	0	2	3	1	3	4	10	3	2	2	2	1	1	6
LDLR	485.771011147223	282.6541	361.60453967	492.0846197	165.141137173424	105.97025625	381.609380193113	307.3878	326.8108	127.9642890449	138.03640632701	484.0996158503	496.2355667	571.02366652	189.776240136895
LDLRAD1	106.642	20.3473	39.59663	65.3472	26.9423	41.3999	31.3929	23.8171	41.8202	28.8581	34.9008	37.855	22.1442	43.9	53.6516
LDLRAD2	0	1	1.28991	2.26624	4.54866	4.94733	7.18185	0.10681	6	1	7.58761	7.95551	3.05656	3	8.76894
LDLRAD3	1	1	6	0	0	2	7	0	2	0	0	1	0	3	1
LDLRAD4	1393.0000601929	205.0004	273.999881	703.99998699428	325.00014644	425.00021	400.99960845475	521.9998786	767.000400038017	586.99994	523.9998742	340.999900878076	242.999803176035	472.9999	859.99915
LDLRAP1	225	52	68	69	25	26	39	20	15	44	85	27	52	42	48
LDOC1	81	28	35	76	25	63	44	84	80	68	49	30	23	36	63
LDOC1L	238	76	29	85	51	61	94	75	32	102	65	54	50	78	75
LEAP2	18	7	9	8	5	3	8	13	9	3	5	10	9	4	10
LECT1	0	0	0	0	0	0	0	0	0	0	0	1.0000002	0	0	2.000004
LECT2	22	7	7	10	4	9	4	4	2	8	3	5	3	5	11
LEF1	118	29.9999600185489	39	80.80590141474	46.00001	80.87089	99.5005	86.483400222956	95.312900254364	63.7710563314	107.2993	98.8772903	137.44546	134.4523	80
LEF1-AS1	1	0	0	5.19407	0	2.129134	6.49949	7.51651	7.68706	1.22895	2.7007	1.12274	9.55453	2.54768	3
LEFTY1	23.8663	1	1	2	0	0	7	0	3.07067	6.76561	2	0	0	1.59806	3.53806
LEFTY2	1.1336782361	0	0	0	0	0	0	2	3.92933	1.23439	1	2	0	1.40194	1.46194
LEKR1	15	3	3	25	7	3	2	5	1	5	4	2	4	8	2
LELP1	0	4	1	0	0	0	1	0	0	1	0	0	0	0	0
LEMD1	1	0	1	0	1	0	0	1	0	0	2	0	0	0	0
LEMD1-AS1	213.132	37.2863	84.2514	132.322	57.8291	70.8524	70.2728	63.2199	75.6578	108.764	99.8505	73.0987	79.5831	88.5777	117.382
LEMD2	503	185.0004	407.99965	640.9999	151	196.00045	277.9999	302.0003	451.0001	291	221.9996	258.9999	238.0004	424.0004	373.9996
LEMD3	205.000000062701	29	69	138	65	98.0000000158768	78	81	104.00014397	105	84	61	77.999961869	114	148.000124147
LENEP	1	3	0	0	2	0	0	0	1	0	0	3	0	0	1
LENG1	487	172	252	449	99	97	224	248	239	168	109	145	189	258	257
LENG8	1093.31	251.714	509.654	788.634	301.865	350.456	435.577	483.929	617.844	716.294	435.318	349.939	374.566	648.617	668.633
LENG9	12.6941	23.2859	14.3456	22.3658	15.1346	16.5435	10.4234	15.0706	6.15621	9.70558	6.68178	8.06137	20.4337	10.3828	20.3668
LEO1	970	316	469	778	226	201	452	373	662	361	225	324	426	467	312
LEP	33.9422	2.13049	4.43845	12.8818	6.89593	12.0707	12.8769	15.406	9.6163	12.6185	6.32773	10.6622	9.503	15.7468	7.98152
LEPR	102.3091	23.206452	31.61215	39.49459	31.77733106789	45.04228	30.7902	18.859784	41.470119	29.7791	40.1905483	30.216152338	23.959057828	28.07781	36.91098
LEPRE1	967	343.0004	521.9998	1147	350.9996	314.9996	543.0004	441.9997	616.9999	523	222.0001	335.9999	347.0004	447.9998	384.0002
LEPREL1	19.34898	1.00924	0	1.00083	3.06391	5.20634	6.08434	3.00737	1.00822	1.0143	1.02791	1.01579	0	7.05409	4.05156
LEPREL2	2	0	0	2	0	3	1	3	0	2	2	0	1	0	12
LEPREL4	152.437	75.742	81.8146	139.494	70.5533	78.9571	101.979	67.6829	112.384	96.5943	81.0394	87.1578	92.4492	162.363	148.347
LEPROT	400.2712	168.9229	168.3656	261.0418	116.9278	132.8585	153.3755	185.08171	182.546	204.9135	134.3239	151.3404	137.57106904	213.02623382	206.105
LEPROTL1	856.143	164.8862	234.8869	393.9998	195.7424	310.577	269.8088	301.9461	306.9995	341.9214	355.8072	267.7876	232.764	355.8339	529.7469
LETM1	1164.57	678.435	1309.98	1663.55	392.973	371.255	916.45	1021.06	1331.75	583.24	348.203	729.069	759.49	1323.04	545.833
LETM2	78.99998	13	21	20.00005	15.99995	17	11	16	16	18.00001	14	3	7	17.99997	15
LETMD1	765.999481	197.0004	230.9996	419.0003	173.000010886933	222.999738659532	296.000100069189	204.99991	305.99999	330.999748	240.9997	270.9999	250.9999	367.0002	455
LEUTX	0	0	0	5	1	0	0	0	1	2	0	2	0	1	0
LFNG	928	400.0001	518.0003	628.9996	213.0001	224.9995	434.0002	651.000500784798	727.9997	349.0001	257.9996	353.0001	378.9996	550.0001	313.0001
LGALS1	54747	24126	34888	48484	22977	19971	34858	39497	37314	29822	10325	23114	20404	25652	15148
LGALS12	13.000000235523	2.000000231945	9.000000122037	7.0000000254052	7.0000003147706	13.000040273795	3.000000129717	2.0000001084016	10.000000344541	12.000000663799	12.00000129949	6	5	9.0000000980807	9.00000061834
LGALS13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
LGALS14	22	1	6	6	4	13	8	4	8	10	4	3	3	3	6
LGALS16	1	0	1	2	3	0	0	0	0	3	1	0	0	0	0
LGALS17A	1	0	4	2	1	0	1	0	3	2	0	1	2	1	0
LGALS2	5	0	1	0	0	0	0	0	0	0	2	0	3	2	0
LGALS3	528.9998	98	138.9998	289.0002025	150.9998	203.9998	595.0004	675.000315	780.0001	355.000205284	91.00002	102.0004573	111.99955	249.99988	212.00019
LGALS3BP	0	2	21	21	19	6	18	21	13	14	17	6	4	37	4
LGALS4	34	3	3	12	2	4	4	0	5	7	1	1	3	4	17
LGALS7	0	1.24572e-06	0	0	4.93459e-07	0	0	0	0	6.21515e-07	0	2.89667e-07	4.21092e-07	1	1.89442e-06
LGALS7B	0	0.999999	0	0	1	0	0	0	0	0.999999	0	1	1	0	3
LGALS8	808.5654736	188.2583	212.3032	469.1814224933	214.661822698	249.551305463	317.56172238	253.09533	438.185628067481	360.726000023422	258.84180329021	281.994582865324	267.28567005762	417.596015955611	359.757045717
LGALS8-AS1	1	4.75829	3.5871	15.9817	1.07276	3.11035	3.40277	5.42022	14.6066	9.02487	8.22465	0	0	18.6495	13.7123
LGALS9	253.91	58.8152	120.2085	111.7479	76.6463	71.808	78.8189	96.92515	73.8540276352	110.8898717	166.7001	222.64897	203.28046832	232.411000218986	224.3932
LGALS9B	0	0	1.68626	0	5.50784	0	0	3.1989	2.64996	2.96308	0	2.37125	2.51947	0	2.9298
LGALS9C	2.09062	6.18477	19.1053	6.25215	1.84588	6.19203	8.1812	7.87594	2.49603	12.147	30.2999	22.9797	19.2001	18.5891	48.6767
LGALSL	41	5	7	6	13	7	9	8	8	2	5	6	1	10	18
LGI1	0	0	6	0	1	0	0	0	0	3	2	0	0	0	0
LGI2	18	8	0	5	2	5	0	1	0	33	2	3	0	0	3
LGI3	10	1	1	1	2	1	2	0	3	5	1	5	0	3	8
LGI4	7	1	3	0	2	3	1	1	0	0	2	3	4	4	6
LGMN	46.6716	4.03651	17.8207	22.4571	14.9481	8.24179	8.13525	9.06777	20.5885	22.0063	17.6633	16.1873	9.80952	17.6468	33.3956
LGR4	0	0	5	2	2	1	0	0	0	1	0	1	1	4	1
LGR5	2	0	2	9	0	0	0	0	0	4	2	0	0	0	0
LGR6	1	0	0	2	2	2	3	1	1	3	3	7	2	2	3
LGSN	129.581	30.2259	45.928	47.6735	31.446	56.9555	29.5987	35.0293	33.2671	59.6556	46.1617	39.9716	23.8669	56.082	66.9248
LHB	2	14.5108	5.59475	27.903	0	3	1.10417	3	1	2.20626	1	1.12397	2	10	2
LHCGR	4	0	0	1	3	0	0	0	0	1	2	0	1	0	1
LHFP	1.04748	1.00256	3.11494	4.3162	11.0277	4.21261	0	13.2798	9.00687	11.1884	4.22498	5.31351	4.2901	1.0871	2.19305
LHFPL1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LHFPL2	11	4	0	0	1	3	2	0	1	2	1	5	0	1	2
LHFPL3	1.00995	0	1	4	4	4	1	2	1	3	1	1	1	0	4
LHFPL3-AS1	0	1	0	0	0	3	0	0	0	1	3	0	2	0	1
LHFPL3-AS2	16	5	10	10	3	9	9	11	10	15	13	6	12	8	9
LHFPL4	2	6	8	3	2	9	4	11	12	10	7	8	24	11	4
LHFPL5	31.5961	18.3088	17.3349	11.576	8.64868	19.6331	16.039	9.09618	12.3205	10.4351	11.3589	15.3172	8.24942	16.7856	18.975
LHPP	140	26	43	47	30	38	38	35	48	50.000026	23.00001	44	48	67.999974	59
LHX1	8	13	9	36	4	12	21	17	22	16	2	12	7	16	4
LHX2	2	4	1	0	1	1	0	1	6	1	1	2	0	2	3
LHX3	2	1.0000000821993	1	2	2.0000000698665	1	0	0	1.0000000236611	1.0000000387755	1.0000000770501	1.0000000129701	6	1	1.0000000490963
LHX4	10.2003	11	24.714	6.749	8.35826	11	15.0697	12.7566	22	16.2694	20	16	17.6232	9	7.32448
LHX5	1	0	1	2	0	1	0	0	1	1	1	1	0	0	0
LHX6	3.000000132932	1	1.0000000331732	0	0	1.999996954	0	0.9999999034	1	0	3.000000734357	2.0000045553	1.00000025393	0	0
LHX8	21.00003	2	1	1	2	3	1	2	0	0	0	1	0	0	2
LHX9	0	0	3	1	1	1	10	18.99999	16.000044665	1	1	2	1	0	0
LIAS	227.8922	53.3567	66.8327	190.528	57.7288	84.7798	138.8795	119.575	115.1319	92.8113	74.6685	76.7019	68.2582571	118.14354153	117.42458726
LIF	158.000301	672	876	1019	25	59	1131	803	1134	55	17.00000736324	347	227.9998	325.9996	26
LIFR	17.000000143327	3.000000175805	7.0000000424724	7.0000000126128	7.000000178621	5.0000000573336	0	5	4.0000000649306	5.000000137628	2.000000111073	5.0000000437707	5.0000000641338	2.0000000109679	5.000000181104
LIG1	2698	1107	2134	2835	757	679	1705	1687	2288	1068	416	1773	1616	2349	485
LIG3	366.0004	159.0003	158.9996	421.0004	117.00021	58.99996	205.0002	142	168.00011	184	83	155.0004	164.0002	211	125.99985
LIG4	69	28.00000205318	24	21	41	41	35	38.99999	39	53.99999	38	36	34	18	54
LILRA1	5.33647	1	0	2	2	3.14001	0	3	3	2	2.03523	1	2.07577	1.01081	2
LILRA2	52	1	1.05589	0	1	10.12	1	2	2	2.02239	4	1	1.02556	2	3.20006
LILRA3	1	0	0	0	0	0	3	1	0	0	1.04763	1	0	1	1.01677
LILRA4	1	0	2.07231	0	0	0	0	1	1.00768	2	1.03698	4	2	0	2
LILRA5	48.24934	19.50089	14.87289	40.06445	19.86771	11.56135	22.25178	17.69278	13.71783	15.01234	21.495	11.47829	11.58883	16.21895	24.67722734311
LILRA6	78.8581	25.1031	15.766	26.3817	25.0339	28.505	36.9693	20.2458	26.9529	39.6502	30.5419	22.4404	34.1842	31.9607	46.0225
LILRB1	89.6152	38.052900031809	63.7671	123.5028	47.97813	118.342242	95.7516	96.723700025208	108.839	148.801600024054	47.2429	43.46829	67.6603	85.1890006445	106.93475
LILRB2	9.80107	0	12.99999	7.16999	8.28091	5.26318	6.70372	4.07929	2.063294	18.92706	5.42037	4.007998	5.3533	3.210367	9.10445
LILRB3	78.5821	20.25281	34.1225	48.1928	21.23669	31.34551	43.9591	25.2672	30.31045	24.14978	33.75183	31.96221	36.0078	43.8794	49.5044
LILRB4	1.01524	2.000005	3.000004	1	3	1	0	4.055379	0	12.1024	0	0	1	1	1.02259
LILRB5	0	0	0	1	0	1	2.03066	0	1	3	0	4	1	2	1
LILRP2	56.2453	83	92	272.536	20	114	263	188	329.771	163	73.8061	108	93	145.478	116.977
LIM2	890	203.0001	499	665	208.9996	383	557	691	850	667	270	417	515	986	404
LIMA1	118	87	192.9995	308	77.00002	70	176	197.0003	166.0004	79	41	139	118	226.9995	103
LIMCH1	7.00000189	1.99999847	1.000000244	4.000000225955	4	6.99999170739	0	2.000002	5.00000142	5.99999294955	7.00000278656	3	2.00000129	14	2.99999182558
LIMD1	922.445	219.351	306.079	562.527	283.794	224.073	238.01	233.507	329.739	307.231	236.388	270.833	244.409	325.423	298.131
LIMD1-AS1	39.5426	0	9.83276	21.4338	2.12227	9.5153	10.0023	9.21239	5.0099	4.27727	11.1158	0	8.00884	6.27762	1.64939
LIMD2	7141.89	1352.7	1826.13	2941.69	1465.92	2107.22	1596.25	1835.66	2179.11	3110.72	2471.24	1874.23	1925.64	2674.54	3961.76
LIME1	579	117	129	274	137	144	135	169	127	157	257	150	140	213	260
LIMK1	1830.997	586.0001	699.9997	1337.9968	550.9999	793	1019.9995	1028	1218.0015	1382	780.9995	651	789.0003	1084.0005	906.9998
LIMK2	738.2572	132.04388	164.0442	358.2139	147.085340725	186.3348	297.22770005	243.042	432.55492	238.1368	175.0608	325.1541	314.2167	373.0791	235.0827
LIMS1	1345.96415	247.200600272106	299.31012	696.9937	277.5501	442.9503	415.7396	416.24541	556.06837	665.2806	314.78651	314.44394	416.9843	440.53223	551.4325
LIMS2	30.99997	0	2	4	11	1	1	1	0	6.00001	4	4	0	1	5
LIMS3	74.67682	9.96278	12.07532	19.591092	5.23162	10.16468	6.10638	4.04172	5.972196	16.0544	29.6036	13.145582	12.590602	21.3654	32.87346
LIMS3-LOC440895	3.50024	7.0119	3.26802	8.62096	5.8994	4.22482	4.12294	5.78358	1.3518	9.78816	16.207	5.5872	3.88512	12.6254	3.28388
LIMS3L	74.67682	9.96278	12.07532	19.591092	5.23162	10.16468	6.10638	4.04172	5.972196	16.0544	29.6036	13.145582	12.590602	21.3654	32.87346
LIN28A	108.273	38.9334	46.2126	51.1379	29.474	34.8792	31.2266	37.3218	40.1033	43.7523	44.315	43.8113	29.5675	47.5075	64.8094
LIN28B	0	1	8	0	2	6	1	0	0	1	2	1	1	0	1
LIN37	392	100	158	208	91	91	87	153	112	128	79	68	98	130	103
LIN52	234.61	68.9838	65.4586	92.0787	27.366	74.2327	114.104	109.843	133.86	96.9315	43.7857	68.4622	50.5352	86.7832	42.8311
LIN54	278.6855	105.8342	110.9309	198.0091	84.89051	125.08875	139.5516	108.72229	146.0942	132.5245	90.5739	128.242600104387	111.4442648	162.7828	168.5116
LIN7A	14	0	0	3	1	0	0	0	0	0	1	0	0	0	3
LIN7B	63	24	26	105	16	16	39	48	40	30	16	35	32	58	38
LIN7C	223.3	90.7766	148.587	223.493	82.9484	74.112	129.64	129.802	143.843	97.7066	65.5408	99.9002	105.034	93.5497	110.1
LIN9	131.9999	34	27	58.000022	33.00003	31	57.00001	27.00003	57.999989	16.00003	13	28.00002	38	58	18.99998
LINC-ROR	68.0003	7.2728	24.0352	18.977	28.5662	21.1101	11.3476	14.6268	9.19449	26.6685	17.981	15.6189	8.50342	13.2184	48.3372
LINC00028	2	0	0	2	1	0	0	0	2	0	3	1	0	0	2
LINC00029	1	0	2	2	0	3	0	1	0	1	2	1	0	0	1
LINC00032	10.0368	4.01179	7.07933	6.03563	2.00677	6	2.01645	2.01121	3.03641	1.00861	12.1383	5.01473	1.01268	4.01815	5.02611
LINC00035	42	0	17	16	8	6	1	3	9	23	17	9	10	19	36
LINC00051	16	1	5	5	6	6	4	3	1	11	9	7	1	5	11
LINC00052	20	0	0	0	0	0	0	0	0	0	0	3	0	0	0
